household_id,full_name,age,gender,location,address,industry,income,expenses,job_status,credit_score,sa_id,phone_number
1,Thabo van der Merwe,48,Male,Rural,"Bloemfontein, South Africa",Mining,37216,11217,Formally Employed,552,980730284811,+27 905251761
2,Abongile Pillay,29,Male,Urban,"Polokwane, South Africa",Government,31663,20108,Formally Employed,593,851104676101,+27 112982000
3,Nelson Pillay,35,Female,Rural,"Polokwane, South Africa",Government,13736,22123,Formally Employed,780,940412307210,+27 953965026
4,Nomvula Mahlangu,52,Female,Urban,"Polokwane, South Africa",Private,16818,10800,Formally Employed,546,900626538300,+27 621601007
5,Nomvula Masuku,53,Female,Urban,"Johannesburg, South Africa",Mining,32541,24856,Formally Employed,780,950404432311,+27 605938159
6,Johannes Dlamini,29,Female,Urban,"Bloemfontein, South Africa",Mining,15243,18845,Formally Employed,584,810419676410,+27 293622932
7,Elize Pillay,24,Female,Rural,"Durban, South Africa",Mining,16371,18324,Formally Employed,552,871217498411,+27 229344816
9,Elize Mahlangu,56,Male,Urban,"Johannesburg, South Africa",Private,37312,32618,Formally Employed,349,890902723510,+27 388172024
10,Zanele Botha,53,Male,Rural,"Polokwane, South Africa",Mining,24455,3908,Formally Employed,772,901229792701,+27 964218761
11,Sipho Nkosi,52,Female,Urban,"Durban, South Africa",Private,43880,4024,Formally Employed,509,880909247110,+27 639007491
12,Leanne Mokoena,53,Male,Rural,"Cape Town, South Africa",Private,48456,2436,Formally Employed,359,851205003601,+27 541636873
13,Nelson Masuku,22,Female,Urban,"Cape Town, South Africa",Mining,48852,26865,Formally Employed,483,990331050100,+27 972309722
14,Thabo Pillay,42,Female,Rural,"Pretoria, South Africa",Government,11871,27950,Formally Employed,675,790928513110,+27 806212300
15,Elize Naidoo,55,Female,Urban,"Bloemfontein, South Africa",Government,21403,34466,Formally Employed,588,801209466100,+27 135774188
16,Elize van der Merwe,49,Male,Rural,"Polokwane, South Africa",Private,31354,33816,Formally Employed,590,930530169711,+27 856973149
17,Pieter Mokoena,35,Male,Urban,"Johannesburg, South Africa",Mining,45121,28630,Formally Employed,528,840819242400,+27 561169402
18,Jacob van der Merwe,50,Female,Urban,"Durban, South Africa",Private,32968,14199,Formally Employed,471,930525034500,+27 125378292
19,Johannes Naidoo,44,Male,Urban,"Port Elizabeth, South Africa",Private,12657,22890,Formally Employed,370,950129646911,+27 519524904
21,Nelson Naidoo,49,Male,Urban,"Bloemfontein, South Africa",Mining,48802,31243,Formally Employed,431,930212348710,+27 389241160
23,Zanele Sithole,30,Female,Urban,"Port Elizabeth, South Africa",Private,42186,7795,Formally Employed,543,840724151101,+27 488006725
24,Nelson Sithole,35,Female,Urban,"Pretoria, South Africa",Mining,33710,25089,Formally Employed,384,981110205410,+27 568528671
26,Jacob Pillay,28,Female,Urban,"Pretoria, South Africa",Government,26936,3635,Formally Employed,545,990607741510,+27 863937371
27,Elize Nkosi,48,Male,Rural,"Johannesburg, South Africa",Private,42983,22332,Formally Employed,340,910507690501,+27 234598790
28,Abongile Zulu,27,Female,Rural,"Polokwane, South Africa",Private,6083,37898,Formally Employed,473,831126422400,+27 569570437
29,Nomvula Nkosi,51,Male,Urban,"Pretoria, South Africa",Private,48430,36665,Formally Employed,445,790929154301,+27 556332132
33,Zanele Dlamini,59,Female,Urban,"Bloemfontein, South Africa",Mining,23729,13753,Formally Employed,656,870325541410,+27 848723657
37,Jacob Mahlangu,34,Female,Rural,"Durban, South Africa",Mining,3804,26256,Formally Employed,740,990221179500,+27 738439445
38,Thabo Zulu,58,Male,Rural,"Polokwane, South Africa",Mining,4501,34903,Formally Employed,540,890829619700,+27 664710046
39,Leanne Botha,43,Female,Urban,"Port Elizabeth, South Africa",Government,43225,38722,Formally Employed,778,790706826500,+27 500118905
40,Leanne Nkosi,47,Male,Rural,"Port Elizabeth, South Africa",Private,43902,8662,Formally Employed,817,820219734100,+27 123499293
42,Nokuthula van der Merwe,56,Female,Urban,"Durban, South Africa",Government,43278,34470,Formally Employed,739,830816464701,+27 336949443
43,Elize Zulu,45,Male,Rural,"Polokwane, South Africa",Government,38369,13177,Formally Employed,708,840424491401,+27 530977551
44,Johannes van der Merwe,52,Female,Urban,"Pretoria, South Africa",Private,3928,19806,Formally Employed,720,830902444701,+27 192714695
