household_id,full_name,age,gender,location,address,industry,income,expenses,job_status,credit_score,sa_id,phone_number,disposable_income,debt_to_income_ratio
1,Thabo Mahlangu,42,Female,Rural,"Cape Town, South Africa",Mining,9320,30363,Formally Employed,539,841227029810,+27 253144379,-21043,3.257832618025751
2,Johannes Botha,55,Male,Urban,"Bloemfontein, South Africa",Private,42426,7185,Formally Employed,545,850422408300,+27 299427942,35241,0.16935369820393156
3,Jacob Masuku,35,Male,Rural,"Pretoria, South Africa",Mining,38940,38765,Formally Employed,442,980307331701,+27 681782099,175,0.9955059065228556
4,Johannes Dlamini,31,Male,Urban,"Pretoria, South Africa",Private,37194,20136,Formally Employed,355,920413056300,+27 207022967,17058,0.5413776415550895
5,Nokuthula Zulu,26,Female,Urban,"Johannesburg, South Africa",Government,35331,15649,Formally Employed,440,830209497510,+27 516367259,19682,0.44292547621069317
6,Pieter Mahlangu,36,Female,Rural,"Cape Town, South Africa",Government,31151,13687,Formally Employed,669,830726141310,+27 281078451,17464,0.439375942987384
7,Nokuthula Mahlangu,45,Male,Urban,"Cape Town, South Africa",Mining,24031,12846,Formally Employed,423,980120201410,+27 194881833,11185,0.5345595272772669
8,Nomvula Naidoo,46,Female,Rural,"Port Elizabeth, South Africa",Private,42629,33982,Formally Employed,389,930210507911,+27 389045537,8647,0.7971568650449224
9,Zanele Pillay,36,Male,Rural,"Bloemfontein, South Africa",Mining,48628,22153,Formally Employed,497,861129296510,+27 507829693,26475,0.4555605823805215
10,Thabo Sithole,34,Female,Rural,"Pretoria, South Africa",Mining,34178,6927,Formally Employed,835,850828758100,+27 669166173,27251,0.20267423488793962
11,Zanele van der Merwe,55,Male,Rural,"Bloemfontein, South Africa",Mining,5283,30173,Formally Employed,634,950304468410,+27 259842834,-24890,5.7113382547794815
12,Sipho Naidoo,49,Male,Urban,"Port Elizabeth, South Africa",Private,26075,35228,Formally Employed,731,910722377900,+27 879229451,-9153,1.351025886864813
13,Zanele Mahlangu,39,Female,Rural,"Durban, South Africa",Mining,26097,35657,Formally Employed,601,790617733010,+27 207104813,-9560,1.3663256312986167
15,Pieter Nkosi,24,Male,Rural,"Bloemfontein, South Africa",Government,17674,25893,Formally Employed,705,950824137401,+27 741270647,-8219,1.4650333823695825
16,Johannes Masuku,59,Male,Urban,"Durban, South Africa",Government,22291,13876,Formally Employed,574,800725268801,+27 649750771,8415,0.6224933829796779
17,Thabo Naidoo,53,Female,Urban,"Johannesburg, South Africa",Government,13044,6210,Formally Employed,353,890807427811,+27 941880591,6834,0.4760809567617295
18,Nomvula Masuku,54,Female,Urban,"Johannesburg, South Africa",Private,17103,27395,Formally Employed,445,840214003200,+27 717637558,-10292,1.6017657720867684
19,Pieter Masuku,46,Male,Rural,"Bloemfontein, South Africa",Mining,46020,29834,Formally Employed,351,870429127911,+27 748047722,16186,0.648283355063016
20,Zanele Nkosi,47,Male,Rural,"Polokwane, South Africa",Private,27661,17852,Formally Employed,782,830310121000,+27 609021943,9809,0.645385199378186
21,Sipho Nkosi,30,Male,Urban,"Pretoria, South Africa",Government,19916,35459,Formally Employed,386,790416191000,+27 778843773,-15543,1.7804277967463347
23,Nokuthula Mokoena,54,Female,Urban,"Bloemfontein, South Africa",Government,13034,30524,Formally Employed,594,850229711201,+27 308273932,-17490,2.341875095903023
25,Leanne van der Merwe,36,Male,Rural,"Polokwane, South Africa",Mining,49245,10960,Formally Employed,349,881022708501,+27 188842629,38285,0.22256066605746777
26,Abongile Naidoo,42,Male,Rural,"Johannesburg, South Africa",Government,27839,31193,Formally Employed,499,801117584500,+27 124487458,-3354,1.1204784654621214
27,Abongile Nkosi,57,Male,Urban,"Pretoria, South Africa",Mining,35682,25893,Formally Employed,574,880407445601,+27 775359123,9789,0.7256599966369598
29,Thabo Zulu,20,Female,Urban,"Port Elizabeth, South Africa",Mining,13641,3522,Formally Employed,533,921109430800,+27 762088749,10119,0.25819221464702
30,Sipho Botha,37,Female,Rural,"Johannesburg, South Africa",Government,34392,4990,Formally Employed,546,830926575010,+27 316970099,29402,0.1450918818329844
31,Abongile Mokoena,43,Male,Urban,"Bloemfontein, South Africa",Private,27902,15887,Formally Employed,450,990925239210,+27 888219945,12015,0.5693857071177694
34,Elize Pillay,31,Male,Rural,"Port Elizabeth, South Africa",Government,36978,4337,Formally Employed,850,951116919300,+27 389119174,32641,0.11728595381037374
35,Leanne Nkosi,56,Male,Rural,"Pretoria, South Africa",Government,39719,12966,Formally Employed,552,980530340301,+27 102458140,26753,0.32644326392910195
36,Nomvula Mokoena,50,Male,Rural,"Cape Town, South Africa",Private,41125,8626,Formally Employed,450,970728458201,+27 232919877,32499,0.20975075987841946
37,Zanele Mokoena,38,Female,Urban,"Johannesburg, South Africa",Mining,38917,33894,Formally Employed,660,820602086510,+27 434711863,5023,0.8709304417092787
39,Abongile Sithole,32,Male,Rural,"Polokwane, South Africa",Mining,30958,10001,Formally Employed,314,800729023601,+27 205897920,20957,0.32305058466309194
40,Jacob Naidoo,33,Female,Urban,"Cape Town, South Africa",Private,13657,25248,Formally Employed,559,990113593601,+27 128790945,-11591,1.8487222669693197
41,Pieter Botha,31,Male,Rural,"Bloemfontein, South Africa",Private,25873,17579,Formally Employed,366,930808971300,+27 439034101,8294,0.6794341591620608
42,Thabo Pillay,23,Male,Urban,"Pretoria, South Africa",Mining,26790,16441,Formally Employed,418,940714868500,+27 478850857,10349,0.613699141470698
43,Jacob Dlamini,31,Female,Rural,"Johannesburg, South Africa",Mining,30049,16055,Formally Employed,775,930725032410,+27 816666391,13994,0.534293986488735
44,Nokuthula van der Merwe,39,Male,Rural,"Cape Town, South Africa",Private,47290,31067,Formally Employed,634,970105739010,+27 998596721,16223,0.6569465003171918
45,Nelson Zulu,55,Male,Rural,"Johannesburg, South Africa",Government,42590,11053,Formally Employed,657,960426149611,+27 936114849,31537,0.25952101432261093
46,Pieter Mokoena,21,Female,Urban,"Bloemfontein, South Africa",Mining,21998,30405,Formally Employed,785,960511148911,+27 596034355,-8407,1.382171106464224
47,Nelson Mahlangu,48,Male,Urban,"Port Elizabeth, South Africa",Government,43418,23198,Formally Employed,469,950119128311,+27 834246469,20220,0.5342945322216592
51,Elize Mokoena,28,Female,Rural,"Pretoria, South Africa",Private,23562,20020,Formally Employed,310,980320421200,+27 404236018,3542,0.8496732026143791
52,Sipho Pillay,52,Female,Rural,"Polokwane, South Africa",Government,32101,37488,Formally Employed,361,820623422710,+27 350125783,-5387,1.1678140867885736
54,Johannes Zulu,39,Male,Rural,"Port Elizabeth, South Africa",Private,5556,30818,Formally Employed,535,931028387701,+27 631546710,-25262,5.546796256299496
55,Elize Sithole,30,Male,Rural,"Polokwane, South Africa",Government,10621,25229,Formally Employed,645,991225803200,+27 467479341,-14608,2.3753883815083325
57,Abongile Botha,33,Female,Urban,"Bloemfontein, South Africa",Mining,30706,36316,Formally Employed,415,821120981701,+27 781014455,-5610,1.1827004494235653
58,Johannes van der Merwe,37,Male,Urban,"Port Elizabeth, South Africa",Government,44802,27826,Formally Employed,599,811230553311,+27 185390560,16976,0.6210883442703451
59,Nelson Masuku,37,Female,Urban,"Cape Town, South Africa",Mining,3741,12337,Formally Employed,434,880602257011,+27 734200364,-8596,3.297781341887196
61,Nokuthula Nkosi,40,Female,Urban,"Port Elizabeth, South Africa",Mining,19163,21913,Formally Employed,414,830509342410,+27 334501833,-2750,1.1435057141366174
62,Nomvula Mahlangu,31,Female,Urban,"Polokwane, South Africa",Mining,4958,29458,Formally Employed,768,920227098900,+27 683321474,-24500,5.941508672851956
63,Elize Zulu,59,Female,Urban,"Port Elizabeth, South Africa",Mining,25533,7386,Formally Employed,673,940831831701,+27 577581155,18147,0.2892727059099988
64,Leanne Sithole,35,Male,Rural,"Pretoria, South Africa",Government,11353,3481,Formally Employed,605,860617126501,+27 377293734,7872,0.3066149916321677
65,Thabo Nkosi,26,Male,Rural,"Polokwane, South Africa",Government,3913,22608,Formally Employed,520,890419952900,+27 304499833,-18695,5.777664196268847
66,Johannes Naidoo,44,Female,Urban,"Durban, South Africa",Government,36076,3827,Formally Employed,704,910815224601,+27 809417668,32249,0.10608160549950105
67,Jacob Botha,48,Male,Urban,"Bloemfontein, South Africa",Private,32299,30129,Formally Employed,657,880212379500,+27 469515376,2170,0.9328152574383107
71,Pieter Zulu,40,Male,Urban,"Cape Town, South Africa",Private,23087,13078,Formally Employed,332,901119182500,+27 843280778,10009,0.5664659765235847
73,Leanne Mahlangu,30,Female,Urban,"Johannesburg, South Africa",Government,16510,31425,Formally Employed,784,980608997211,+27 665258566,-14915,1.9033918837068444
75,Zanele Masuku,55,Male,Rural,"Cape Town, South Africa",Private,40822,18952,Formally Employed,728,870607580000,+27 620280748,21870,0.46425946793395717
77,Leanne Botha,45,Female,Rural,"Pretoria, South Africa",Mining,3884,8671,Formally Employed,441,910507897601,+27 563319684,-4787,2.2324922760041193
80,Elize Naidoo,22,Female,Rural,"Pretoria, South Africa",Private,48835,38940,Formally Employed,821,911114034611,+27 444717431,9895,0.7973789290467902
82,Sipho Masuku,53,Female,Urban,"Port Elizabeth, South Africa",Government,38749,19398,Formally Employed,805,861219004611,+27 661909226,19351,0.5006064672636713
83,Abongile van der Merwe,43,Male,Urban,"Bloemfontein, South Africa",Mining,42172,4081,Formally Employed,418,860218857500,+27 309675376,38091,0.09677036896519017
84,Nomvula Botha,21,Female,Urban,"Johannesburg, South Africa",Mining,32341,38984,Formally Employed,536,840424551000,+27 250078374,-6643,1.205404903991837
85,Nelson Naidoo,54,Male,Urban,"Polokwane, South Africa",Mining,35748,12782,Formally Employed,807,970226152700,+27 760667704,22966,0.3575584648092201
86,Nelson Dlamini,49,Female,Rural,"Johannesburg, South Africa",Mining,31083,37416,Formally Employed,770,810715902710,+27 609085090,-6333,1.2037448122768073
87,Abongile Pillay,36,Female,Urban,"Johannesburg, South Africa",Private,32664,25400,Formally Employed,849,911131813210,+27 650373156,7264,0.7776144991427871
89,Nomvula Dlamini,57,Female,Rural,"Cape Town, South Africa",Mining,49045,37454,Formally Employed,350,890208932010,+27 990904853,11591,0.7636660210011215
91,Nomvula Pillay,37,Female,Urban,"Durban, South Africa",Mining,32745,14011,Formally Employed,525,880705979601,+27 117819650,18734,0.4278821194075431
93,Nokuthula Naidoo,52,Female,Urban,"Polokwane, South Africa",Government,49290,34155,Formally Employed,455,880624066000,+27 545572776,15135,0.6929397443700548
95,Nokuthula Botha,49,Male,Urban,"Polokwane, South Africa",Mining,5249,30368,Formally Employed,341,820308413011,+27 776439450,-25119,5.7854829491331685
96,Zanele Zulu,55,Male,Rural,"Durban, South Africa",Mining,22072,27946,Formally Employed,663,840518966811,+27 164166956,-5874,1.2661290322580645
98,Abongile Zulu,31,Female,Urban,"Port Elizabeth, South Africa",Private,20949,25650,Formally Employed,387,880914226700,+27 779023783,-4701,1.2244021194329084
99,Jacob Mahlangu,57,Female,Rural,"Cape Town, South Africa",Government,19621,29530,Formally Employed,444,980823833411,+27 662790103,-9909,1.505020131491769
100,Pieter Naidoo,44,Male,Urban,"Cape Town, South Africa",Private,30523,23091,Formally Employed,821,850913704311,+27 321769248,7432,0.7565114831438587
103,Jacob Nkosi,47,Male,Urban,"Johannesburg, South Africa",Mining,7608,26669,Formally Employed,821,800805185210,+27 381635415,-19061,3.5053890641430074
104,Johannes Pillay,57,Female,Urban,"Johannesburg, South Africa",Private,20308,8332,Formally Employed,657,880310288500,+27 275461853,11976,0.41028166239905456
108,Nomvula van der Merwe,24,Male,Urban,"Bloemfontein, South Africa",Mining,25324,3644,Formally Employed,735,930815694300,+27 333170279,21680,0.14389511925446216
111,Nomvula Sithole,52,Female,Urban,"Durban, South Africa",Mining,31142,7288,Formally Employed,775,920910404300,+27 615500123,23854,0.23402478967311027
113,Leanne Pillay,48,Male,Urban,"Johannesburg, South Africa",Private,5986,24576,Formally Employed,660,981005986801,+27 632957834,-18590,4.105579685933845
115,Abongile Masuku,40,Male,Urban,"Bloemfontein, South Africa",Government,5899,5724,Formally Employed,836,970113388400,+27 866412874,175,0.9703339549076114
118,Sipho van der Merwe,25,Male,Urban,"Bloemfontein, South Africa",Mining,6573,7116,Formally Employed,680,910225074511,+27 930309336,-543,1.0826106800547695
119,Leanne Mokoena,25,Female,Urban,"Cape Town, South Africa",Government,25378,8989,Formally Employed,769,900920881610,+27 443796288,16389,0.35420442903302074
121,Leanne Masuku,24,Male,Urban,"Cape Town, South Africa",Government,6452,5027,Formally Employed,848,810230087800,+27 321516684,1425,0.7791382517048977
125,Johannes Nkosi,31,Male,Urban,"Polokwane, South Africa",Mining,33532,12329,Formally Employed,848,860131187400,+27 870083714,21203,0.3676786353334129
126,Zanele Botha,30,Female,Urban,"Port Elizabeth, South Africa",Government,15453,14116,Formally Employed,767,960529465401,+27 533059420,1337,0.9134795832524429
127,Jacob Sithole,58,Male,Urban,"Port Elizabeth, South Africa",Mining,7315,3201,Formally Employed,366,821007839001,+27 743802158,4114,0.43759398496240604
133,Nelson van der Merwe,55,Male,Rural,"Johannesburg, South Africa",Mining,49434,33501,Formally Employed,325,860621247201,+27 976546571,15933,0.6776914674110935
136,Nokuthula Sithole,52,Male,Rural,"Pretoria, South Africa",Private,26674,18636,Formally Employed,645,840731968600,+27 732676741,8038,0.6986578690860014
142,Pieter Dlamini,24,Female,Urban,"Polokwane, South Africa",Mining,24196,19120,Formally Employed,803,801104349811,+27 735165774,5076,0.7902132583898165
